Chunk,Pretraining,Model,Macro F1
Fragment 64,None,CNN,0.569
Fragment 64,None,AWD-LSTM,0.3535
Fragment 64,None,RoBERTa,0.4447
Fragment 64,None,GPT-2,0.4109
Fragment 64,Target,AWD-LSTM,0.5355
Fragment 64,Target,RoBERTa,0.5802
Fragment 64,Target,GPT-2,0.5056
Fragment 64,IMSLP,AWD-LSTM,0.6058
Fragment 64,IMSLP,RoBERTa,0.6424
Fragment 64,IMSLP,GPT-2,0.6679
Fragment 128,None,CNN,0.4933
Fragment 128,None,AWD-LSTM,0.3466
Fragment 128,None,RoBERTa,0.4609
Fragment 128,None,GPT-2,0.4179
Fragment 128,Target,AWD-LSTM,0.5675
Fragment 128,Target,RoBERTa,0.5447
Fragment 128,Target,GPT-2,0.5207
Fragment 128,IMSLP,AWD-LSTM,0.6159
Fragment 128,IMSLP,RoBERTa,0.6254
Fragment 128,IMSLP,GPT-2,0.6318
Fragment 256,None,CNN,0.4852
Fragment 256,None,AWD-LSTM,0.3595
Fragment 256,None,RoBERTa,0.4258
Fragment 256,None,GPT-2,0.3706
Fragment 256,Target,AWD-LSTM,0.5551
Fragment 256,Target,RoBERTa,0.5157
Fragment 256,Target,GPT-2,0.5194
Fragment 256,IMSLP,AWD-LSTM,0.6042
Fragment 256,IMSLP,RoBERTa,0.6135
Fragment 256,IMSLP,GPT-2,0.591
